,playerid,date_of_birth,place_of_birth,nation,height,weight,shoots,rights,under_contract,draft_year,draft_round,draft_pick,draft_team,shortname,status,nhl_draft,rankings,catches,draft_year_eligible,load_date,player_name,position,nhl_likelihood,most_likelihood_nhl_node,nhl_expected_value
223,284916,1999-03-31,"Mercier, QC, CAN",Canada,183.0,85.0,L,New York Islanders,False,2019,6,178,New York Islanders,felix-bibeau,,,,,2017,2020-06-03,Félix Bibeau,F,0.12,5,27.9
224,251744,1998-03-05,"Ottawa, ON, CAN",Canada,197.0,98.0,R,,,2016,6,179,Toronto Maple Leafs,nicolas-mattinen,,,,,2016,2020-06-03,Nicolas Mattinen,D,0.11,6,10.6
225,275589,1999-09-14,"Laval, QC, CAN",Canada,195.0,101.0,R,,,2018,6,179,Minnesota Wild,shawn-boudrias,,,,,2017,2020-06-03,Shawn Boudrias,F,0.18,5,34.7
226,397650,2000-02-04,"Toronto, ON, CAN",Canada,185.0,82.0,L,Columbus Blue Jackets,True,2018,1,18,Columbus Blue Jackets,liam-foudy,,,,,2018,2020-06-03,Liam Foudy,F,0.62,10,64.6
227,465160,2001-08-19,"Syracuse, NY, USA",Canada                                                                                             /  USA,190.0,87.0,L,Dallas Stars,True,2019,1,18,Dallas Stars,thomas-harley,,,,,2019,2020-06-03,Thomas Harley,D,0.71,18,81.8
228,180538,1999-01-01,"Joensuu, FIN",Finland,185.0,84.0,L,Boston Bruins,True,2017,1,18,Boston Bruins,urho-vaakanainen,,,,,2017,2020-06-03,Urho Vaakanainen,D,0.36,5,40.0
229,240108,1998-05-26,"Kitchener, ON, CAN",Canada,200.0,105.0,L,Winnipeg Jets,True,2016,1,18,Winnipeg Jets,logan-stanley,,,,,2016,2020-06-03,Logan Stanley,D,0.21,3,34.5
230,267086,2000-03-31,"Halifax, NS, CAN",Canada,183.0,77.0,L,Vegas Golden Knights,False,2018,6,180,Vegas Golden Knights,peter-diliberatore,,,,,2018,2020-06-03,Peter Diliberatore,D,0.06,10,13.3
231,245255,1997-09-28,"Mississauga, ON, CAN",Canada,188.0,100.0,R,,,2016,6,180,San Jose Sharks,mark-shoemaker,,,,,2016,2020-06-03,Mark Shoemaker,D,0.08,5,15.4
232,364031,2000-10-13,"Danville, CA, USA",USA,185.0,87.0,R,Vancouver Canucks,False,2019,6,180,Vancouver Canucks,jack-malone,,,,,2019,2020-06-03,Jack Malone,F,0.1,11,24.4
